卫视频道,#genre#
陕西卫视,http://198.204.228.26/live/snwshd.m3u8
四川卫视,http://198.204.228.26/live/scwshd.m3u8
湖南卫视,http://192.151.150.154/live/hnwshd.m3u8
广西卫视,http://107.150.60.122/live/gxwshd.m3u8
东南卫视,http://204.12.221.218:8181/3m1080p/dnws.m3u8
湖南卫视,http://107.150.60.122/live/hnwshd.m3u8
湖北卫视,http://198.204.228.26/live/hbwshd.m3u8
四川卫视,http://107.150.60.122/live/scwshd.m3u8
辽宁卫视,http://192.151.150.154/live/lnwshd.m3u8
山西卫视,http://204.12.221.218:8181/3m1080p/sxws.m3u8
三沙卫视,http://107.150.60.122/live/ssws.m3u8
吉林卫视,http://107.150.60.122/live/jlwshd.m3u8
大湾区卫视,http://198.204.228.26/live/nfws.m3u8
贵州卫视,http://198.204.228.26/live/gzwshd.m3u8
湖北卫视,http://204.12.221.218:8181/3m1080p/hbws.m3u8
陕西卫视,http://192.151.150.154/live/snwshd.m3u8
广东卫视,http://107.150.60.122/live/gdwshd.m3u8
河南卫视,http://107.150.60.122/live/hawshd.m3u8
青海卫视,http://107.150.60.122/live/qhws.m3u8
江西卫视,http://107.150.60.122/live/jxwshd.m3u8
天津卫视,http://107.150.60.122/live/tjwshd.m3u8
天津卫视,http://198.204.228.26/live/tjwshd.m3u8
湖南卫视,http://74.91.26.218:82/live/hnwshd.m3u8
深圳卫视,http://204.12.221.218:8181/3m1080p/szws.m3u8
陕西卫视,http://107.150.60.122/live/snwshd.m3u8
山东卫视,http://107.150.60.122/live/sdwshd.m3u8
兵团卫视,http://107.150.60.122/live/btws.m3u8
宁夏卫视,http://192.151.150.154/live/nxws.m3u8
湖南卫视,http://204.12.221.218:8181/3m1080p/hnws.m3u8
湖南卫视,http://198.204.228.26/live/hnwshd.m3u8
江西卫视,http://192.151.150.154/live/jxwshd.m3u8
黑龙江卫视,http://204.12.221.218:8181/3m1080p/hljws.m3u8
深圳卫视,http://192.151.150.154/live/szwshd.m3u8
河南卫视,http://192.151.150.154/live/hawshd.m3u8
吉林卫视,http://198.204.228.26/live/jlwshd.m3u8
