福建频道,#genre#
厦门卫视,http://192.151.150.154/live/xmws.m3u8
福州生活,http://live.zohi.tv:80/video/s10001-fztv-3/index.m3u8
福建经济,http://satellitepull.cnr.cn/live/wx32fjdnjjgb/playlist.m3u8
福建新闻,http://satellitepull.cnr.cn/live/wx32fjxwgb/playlist.m3u8
云霄综合,https://live.zzyxxw.com:2443/live/xwzh.m3u8
福建海峡卫视,http://223.247.25.205:1234/849119120
三明新闻综合,https://ls.qingting.fm/live/5022100/64k.m3u8
福建海峡卫视,http://111.122.65.136:1234/849119120
厦门卫视,http://183.11.239.36:808/hls/17/index.m3u8
福建海峡卫视,http://110.154.192.30:7788/849119120
福建海峡卫视,http://8.135.27.147:1234/849119120
