更新时间: 2026-04-04 18:02:18（北京时间）

更新时间,#genre#
2026-04-04 18:02:18,https://txmov2.a.kwimgs.com/bs3/video-hls/5230086603510673905_hlsb.m3u8?pkey=AAUyMbVkU7WkimubgX0RPM_gxiBDBZ0O6NjXg8fqHAfjVU3xFbWk1Mq_dhogP1fSZfTuxFuTTP4Q9geCGPwtGGOxQWCeEZMzc8A0cmLTyXrZZWUeTZQtSukPK5Y5UyZPBuM

央视频道,#genre#
CCTV1,http://58.46.202.137:4023/rtp/239.76.253.151:9000$湖南电信_result_ip
CCTV2,http://58.46.202.137:4023/rtp/239.76.253.152:9000$湖南电信_result_ip
CCTV2,http://58.46.202.137:4023/rtp/239.76.246.152:1234$湖南电信_result_ip
CCTV3,http://58.46.202.137:4023/rtp/239.76.253.153:9000$湖南电信_result_ip
CCTV3,http://58.46.202.137:4023/rtp/239.76.246.153:1234$湖南电信_result_ip
CCTV4,http://58.46.202.137:4023/rtp/239.76.245.195:1234$湖南电信_result_ip
CCTV4,http://58.46.202.137:4023/rtp/239.76.246.154:1234$湖南电信_result_ip
CCTV4,http://58.46.202.137:4023/rtp/239.76.253.154:9000$湖南电信_result_ip
CCTV4欧洲,http://58.46.202.137:4023/rtp/239.76.246.95:1234$湖南电信_result_ip
CCTV4欧洲,http://58.46.202.137:4023/rtp/239.76.253.95:9000$湖南电信_result_ip
CCTV4美洲,http://58.46.202.137:4023/rtp/239.76.253.96:9000$湖南电信_result_ip
CCTV4美洲,http://58.46.202.137:4023/rtp/239.76.246.96:1234$湖南电信_result_ip
CCTV5,http://58.46.202.137:4023/rtp/239.76.253.155:9000$湖南电信_result_ip
CCTV5,http://58.46.202.137:4023/rtp/239.76.246.155:1234$湖南电信_result_ip
CCTV5,http://58.46.202.137:4023/rtp/239.76.254.214:9000$湖南电信_result_ip
CCTV5+,http://58.46.202.137:4023/rtp/239.76.246.168:1234$湖南电信_result_ip
CCTV5+,http://58.46.202.137:4023/rtp/239.76.254.215:9000$湖南电信_result_ip
CCTV6,http://58.46.202.137:4023/rtp/239.76.253.156:9000$湖南电信_result_ip
CCTV6,http://58.46.202.137:4023/rtp/239.76.246.156:1234$湖南电信_result_ip
CCTV7,http://58.46.202.137:4023/rtp/239.76.253.157:9000$湖南电信_result_ip
CCTV7,http://58.46.202.137:4023/rtp/239.76.246.157:1234$湖南电信_result_ip
CCTV8,http://58.46.202.137:4023/rtp/239.76.253.158:9000$湖南电信_result_ip
CCTV8,http://58.46.202.137:4023/rtp/239.76.246.158:1234$湖南电信_result_ip
CCTV9,http://58.46.202.137:4023/rtp/239.76.246.159:1234$湖南电信_result_ip
CCTV9,http://58.46.202.137:4023/rtp/239.76.253.159:9000$湖南电信_result_ip
CCTV10,http://58.46.202.137:4023/rtp/239.76.253.160:9000$湖南电信_result_ip
CCTV10,http://58.46.202.137:4023/rtp/239.76.246.160:1234$湖南电信_result_ip
CCTV11,http://58.46.202.137:4023/rtp/239.76.245.251:1234$湖南电信_result_ip
CCTV11,http://58.46.202.137:4023/rtp/239.76.252.251:9000$湖南电信_result_ip
CCTV12,http://58.46.202.137:4023/rtp/239.76.246.162:1234$湖南电信_result_ip
CCTV12,http://58.46.202.137:4023/rtp/239.76.253.162:9000$湖南电信_result_ip
CCTV13,http://58.46.202.137:4023/rtp/239.76.253.93:9000$湖南电信_result_ip
CCTV13,http://58.46.202.137:4023/rtp/239.76.246.93:1234$湖南电信_result_ip
CCTV14,http://58.46.202.137:4023/rtp/239.76.246.164:1234$湖南电信_result_ip
CCTV14,http://58.46.202.137:4023/rtp/239.76.253.164:9000$湖南电信_result_ip
