更新时间,#genre#
2026-04-15 06:49:03,url
央视频道,#genre#:
CCTV1,http://183.164.55.112:5000/udp/238.1.78.166:7200
CCTV2,http://60.168.76.226:10000/udp/238.1.78.235:7752
CCTV3,http://60.168.76.226:10000/udp/238.1.78.170:7232
CCTV5,http://60.168.76.226:10000/udp/238.1.78.171:7240
CCTV5+,http://60.168.76.226:10000/udp/238.1.78.237:7768
CCTV7,http://60.168.76.226:10000/udp/238.1.78.239:7784
CCTV10,http://183.164.55.112:5000/udp/238.1.78.241:7800
CCTV12,http://60.168.76.226:10000/udp/238.1.78.242:7808
CCTV17,http://60.168.76.226:10000/udp/238.1.78.178:7296
CCTV 4K,http://60.168.76.226:10000/udp/238.1.78.137:6968

卫视频道,#genre#:
三沙卫视,http://60.168.76.226:10000/udp/238.1.78.27:6144
东南卫视,http://60.168.76.226:10000/udp/238.1.78.22:6104
云南卫视,http://60.168.76.226:10000/udp/238.1.78.89:6584$标清
兵团卫视,http://60.168.76.226:10000/udp/238.1.78.104:6704
北京卫视,http://183.164.55.112:5000/udp/238.1.78.63:6376$标清
北京卫视,http://60.168.76.226:10000/udp/238.1.78.162:7168
厦门卫视,http://60.168.76.226:10000/udp/238.1.78.246:7840
吉林卫视,http://60.168.76.226:10000/udp/238.1.79.48:4496
吉林卫视,http://60.168.76.226:10000/udp/238.1.78.93:6616$标清
天津卫视,http://60.168.76.226:10000/udp/238.1.78.91:6600$标清
安徽卫视,http://60.168.76.226:10000/udp/238.1.79.27:4328
山东卫视,http://60.168.76.226:10000/udp/238.1.78.66:6400$标清
广东卫视,http://60.168.76.226:10000/udp/238.1.78.68:6416$标清
江苏卫视,http://60.168.76.226:10000/udp/238.1.78.165:7192
江西卫视,http://183.164.55.112:5000/udp/238.1.78.86:6560$标清
河北卫视,http://60.168.76.226:10000/udp/238.1.78.245:7832
河南卫视,http://60.168.76.226:10000/udp/238.1.78.69:6424$标清
深圳卫视,http://60.168.76.226:10000/udp/238.1.78.156:7120
湖南卫视,http://60.168.76.226:10000/udp/238.1.78.160:7152
西藏卫视,http://60.168.76.226:10000/udp/238.1.78.101:6680
贵州卫视,http://60.168.76.226:10000/udp/238.1.78.90:6592$标清
重庆卫视,http://60.168.76.226:10000/udp/238.1.78.31:6176
陕西卫视,http://60.168.76.226:10000/udp/238.1.78.88:6576$标清
青海卫视,http://183.164.55.112:5000/udp/238.1.78.102:6688
黑龙江卫视,http://60.168.76.226:10000/udp/238.1.78.98:6656$标清

安徽频道,#genre#:
亳州综合频道,http://60.168.76.226:10000/udp/238.1.78.128:6896
休宁新闻综合,http://60.168.76.226:10000/udp/238.1.79.20:4272
利辛新闻综合,http://60.168.76.226:10000/udp/238.1.78.196:7440
