# 上海市电信 IP速度测试结果 - 有效IP 10/12
# 测试时间: 2026-02-11 02:01:47
# IP:端口 速度 连接时间(ms)
1.94.26.150:17988 104.9KB/s (ping:258ms)
123.60.75.150:540 45.5KB/s (ping:238ms)
60.204.136.158:7547 31.4KB/s (ping:1260ms)
121.37.190.200:3542 31.4KB/s (ping:240ms)
1.94.42.128:211 31.3KB/s (ping:239ms)
1.94.48.252:8138 31.3KB/s (ping:233ms)
115.175.34.158:7170 31.2KB/s (ping:238ms)
115.120.226.128:22335 31.2KB/s (ping:242ms)
121.37.187.105:7007 31.2KB/s (ping:240ms)
60.204.210.122:40001 31.2KB/s (ping:237ms)

# 失败统计 (2个):
# 116.235.226.198:8001 - 不可用
# 116.227.140.23:8001 - 不可用
