# 北京市电信 IP速度测试结果 - 有效IP 8/11
# 测试时间: 2026-02-09 13:03:08
# IP:端口 速度 连接时间(ms)
49.232.181.26:6000 66.1KB/s (ping:262ms)
115.171.216.84:4000 41.7KB/s (ping:276ms)
113.44.160.132:3522 30.2KB/s (ping:281ms)
123.249.85.64:8092 30.1KB/s (ping:279ms)
113.44.198.31:2082 30.0KB/s (ping:275ms)
123.249.111.29:7272 29.9KB/s (ping:267ms)
123.249.108.37:7100 29.8KB/s (ping:260ms)
123.249.27.48:3689 29.8KB/s (ping:268ms)

# 失败统计 (3个):
# 221.223.2.32:8888 - 不可用
# 211.92.9.74:8888 - 不可用
# 111.193.236.248:4022 - 链接错误
