# 江苏电信 IP速度测试结果 - 有效IP 8/19
# 测试时间: 2026-03-13 01:51:39
# IP:端口 速度 连接时间(ms)
121.225.49.164:8888 117.3KB/s (ping:237ms)
117.86.48.47:7777 109.9KB/s (ping:222ms)
117.93.50.49:8088 100.2KB/s (ping:195ms)
114.231.131.82:4022 95.4KB/s (ping:2306ms)
121.226.125.206:7777 84.5KB/s (ping:215ms)
114.222.8.102:8001 77.5KB/s (ping:207ms)
49.85.97.234:4000 29.2KB/s (ping:230ms)
49.85.97.233:4000 19.6KB/s (ping:227ms)

# 失败统计 (11个):
# 114.231.3.100:8889 - 链接错误
# 49.66.188.2:8800 - 不可用
# 49.66.188.2:6664 - 不可用
# 49.66.188.2:3141 - 不可用
# 117.84.98.77:3139 - 链接超时
# 117.84.98.77:8089 - 链接超时
# 117.84.98.77:1433 - 链接超时
# 117.84.98.77:6780 - 链接超时
# 117.84.98.77:6001 - 链接超时
# 117.84.98.77:2079 - 链接超时
# 117.84.98.77:3138 - 链接超时
